Job_Title,Salary_2015,Salary_2017
All Occupations,"$36,200 ","$37,690 "
Management Occupations,"$98,560 ","$102,590 "
Top Executives,"$100,940 ","$103,120 "
Chief Executives,"$175,110 ","$183,270 "
General and Operations Managers,"$97,730 ","$100,410 "
Legislators,"$20,500 ","$25,630 "
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","$116,810 ","$123,100 "
Advertising and Promotions Managers,"$95,890 ","$106,130 "
Marketing and Sales Managers,"$119,280 ","$125,290 "
Marketing Managers,"$128,750 ","$132,230 "
Sales Managers,"$113,860 ","$121,060 "
Public Relations and Fundraising Managers,"$104,140 ","$111,280 "
Operations Specialties Managers,"$108,260 ","$115,700 "
Administrative Services Managers,"$86,110 ","$94,020 "
Computer and Information Systems Managers,"$131,600 ","$139,220 "
Financial Managers,"$117,990 ","$125,080 "
Industrial Production Managers,"$93,940 ","$100,580 "
Purchasing Managers,"$108,120 ","$115,760 "
"Transportation, Storage, and Distribution Managers","$86,630 ","$92,460 "
Compensation and Benefits Managers,"$111,430 ","$119,120 "
Human Resources Managers,"$104,440 ","$110,120 "
Training and Development Managers,"$102,640 ","$108,250 "
Other Management Occupations,"$85,880 ","$88,720 "
"Farmers, Ranchers, and Other Agricultural Managers","$64,170 ","$69,620 "
Construction Managers,"$87,400 ","$91,370 "
Education Administrators,"$85,290 ","$88,890 "
"Education Administrators, Preschool and Childcare Center/Program","$45,670 ","$46,890 "
"Education Administrators, Elementary and Secondary School","$90,410 ","$94,390 "
"Education Administrators, Postsecondary","$88,580 ","$92,360 "
"Education Administrators, All Other","$76,930 ","$81,630 "
Architectural and Engineering Managers,"$132,800 ","$137,720 "
Food Service Managers,"$48,690 ","$52,030 "
Funeral Service Managers,"$70,890 ","$78,040 "
Gaming Managers,"$68,380 ","$72,930 "
Lodging Managers,"$49,720 ","$51,800 "
Medical and Health Services Managers,"$94,500 ","$98,350 "
Natural Sciences Managers,"$120,160 ","$118,970 "
Postmasters and Mail Superintendents,"$70,640 ","$74,840 "
"Property, Real Estate, and Community Association Managers","$55,380 ","$58,670 "
Social and Community Service Managers,"$63,530 ","$64,100 "
Emergency Management Directors,"$67,330 ","$72,760 "
Miscellaneous Managers,"$104,850 ","$105,610 "
"Managers, All Other","$104,850 ","$105,610 "
Business and Financial Operations Occupations,"$65,710 ","$67,710 "
Business Operations Specialists,"$64,510 ","$66,390 "
"Agents and Business Managers of Artists, Performers, and Athletes","$62,940 ","$64,940 "
Buyers and Purchasing Agents,"$59,620 ","$62,120 "
"Buyers and Purchasing Agents, Farm Products","$56,270 ","$62,120 "
"Wholesale and Retail Buyers, Except Farm Products","$52,940 ","$64,690 "
"Purchasing Agents, Except Wholesale, Retail, and Farm Products","$62,220 ","$64,900 "
"Claims Adjusters, Appraisers, Examiners, and Investigators","$63,060 ","$62,100 "
"Claims Adjusters, Examiners, and Investigators","$62,980 ","$67,870 "
"Insurance Appraisers, Auto Damage","$64,020 ","$67,870 "
Compliance Officers,"$65,640 ","$63,110 "
Cost Estimators,"$60,390 ","$60,570 "
Human Resources Workers,"$58,370 ","$35,660 "
Human Resources Specialists,"$58,350 ","$63,200 "
Farm Labor Contractors,"$30,910 ","$74,590 "
Labor Relations Specialists,"$58,820 ","$74,590 "
Logisticians,"$74,260 ","$82,450 "
Management Analysts,"$81,320 ","$48,290 "
"Meeting, Convention, and Event Planners","$46,840 ","$55,640 "
Fundraisers,"$52,970 ","$62,680 "
"Compensation, Benefits, and Job Analysis Specialists","$60,850 ","$60,360 "
Training and Development Specialists,"$58,210 ","$63,230 "
Market Research Analysts and Marketing Specialists,"$62,150 ","$70,010 "
Miscellaneous Business Operations Specialists,"$68,170 ","$70,120 "
"Business Operations Specialists, All Other","$68,170 ","$69,350 "
Financial Specialists,"$67,740 ","$69,350 "
Accountants and Auditors,"$67,190 ","$54,010 "
Appraisers and Assessors of Real Estate,"$51,860 ","$75,240 "
Budget Analysts,"$71,590 ","$71,290 "
Credit Analysts,"$69,680 ","$82,770 "
Financial Analysts and Advisors,"$79,350 ","$90,640 "
Financial Analysts,"$80,310 ","$69,760 "
Personal Financial Advisors,"$89,160 ","$81,690 "
Insurance Underwriters,"$65,040 ","$81,690 "
Financial Examiners,"$78,010 ","$61,840 "
Credit Counselors and Loan Officers,"$60,910 ","$64,660 "
Credit Counselors,"$43,840 ","$46,840 "
Loan Officers,"$63,430 ","$53,130 "
"Tax Examiners, Collectors and Preparers, and Revenue Agents","$44,840 ","$38,730 "
"Tax Examiners and Collectors, and Revenue Agents","$51,430 ","$69,520 "
Tax Preparers,"$36,450 ","$69,520 "
Miscellaneous Financial Specialists,"$66,670 ","$84,560 "
"Financial Specialists, All Other","$66,670 ","$84,580 "
Computer and Mathematical Occupations,"$81,430 ","$114,520 "
Computer Occupations,"$81,430 ","$114,520 "
Computer and Information Research Scientists,"$110,620 ","$89,280 "
Computer and Information Analysts,"$86,370 ","$95,510 "
Computer Systems Analysts,"$85,800 ","$97,770 "
Information Security Analysts,"$90,120 ","$82,240 "
Software Developers and Programmers,"$94,080 ","$101,790 "
Computer Programmers,"$79,530 ","$107,600 "
"Software Developers, Applications","$98,260 ","$67,990 "
"Software Developers, Systems Software","$105,570 ","$87,090 "
Web Developers,"$64,970 ","$87,020 "
Database and Systems Administrators and Network Architects,"$82,780 ","$81,100 "
Database Administrators,"$81,710 ","$104,650 "
Network and Computer Systems Administrators,"$77,810 ","$52,810 "
Computer Network Architects,"$100,240 ","$50,210 "
Computer Support Specialists,"$51,470 ","$62,340 "
Computer User Support Specialists,"$48,620 ","$88,510 "
Computer Network Support Specialists,"$62,250 ","$88,510 "
Miscellaneous Computer Occupations,"$85,240 ","$84,060 "
"Computer Occupations, All Other","$85,240 ","$101,560 "
Mathematical Science Occupations,"$81,360 ","$101,560 "
Actuaries,"$97,070 ","$103,010 "
Mathematicians,"$111,110 ","$81,390 "
Operations Research Analysts,"$78,630 ","$84,060 "
Statisticians,"$80,110 ","$57,890 "
Miscellaneous Mathematical Science Occupations,"$58,580 ","$79,180 "
Mathematical Technicians,"$46,600 ","$72,020 "
"Mathematical Science Occupations, All Other","$66,210 ","$76,590 "
Architecture and Engineering Occupations,"$76,870 ","$78,470 "
"Architects, Surveyors, and Cartographers","$69,130 ","$65,760 "
"Architects, Except Naval","$74,040 ","$61,770 "
"Architects, Except Landscape and Naval","$76,100 ","$63,990 "
Landscape Architects,"$63,810 ","$61,140 "
"Surveyors, Cartographers, and Photogrammetrists","$58,920 ","$92,220 "
Cartographers and Photogrammetrists,"$61,880 ","$113,030 "
Surveyors,"$58,020 ","$113,030 "
Engineers,"$90,060 ","$74,780 "
Aerospace Engineers,"$107,830 ","$74,780 "
Agricultural Engineers,"$75,090 ","$88,040 "
Biomedical Engineers,"$86,220 ","$102,160 "
Chemical Engineers,"$97,360 ","$84,770 "
Civil Engineers,"$82,220 ","$115,120 "
Computer Hardware Engineers,"$111,730 ","$95,060 "
Electrical and Electronics Engineers,"$95,230 ","$86,800 "
Electrical Engineers,"$93,010 ","$86,800 "
"Electronics Engineers, Except Computer","$98,270 ","$86,090 "
Environmental Engineers,"$84,560 ","$88,510 "
"Industrial Engineers, Including Health and Safety","$83,570 ","$90,970 "
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","$84,600 ","$90,970 "
Industrial Engineers,"$83,470 ","$94,610 "
Marine Engineers and Naval Architects,"$93,110 ","$94,610 "
Materials Engineers,"$91,310 ","$85,880 "
Mechanical Engineers,"$83,590 ","$94,240 "
"Mining and Geological Engineers, Including Mining Safety Engineers","$94,040 ","$105,810 "
Nuclear Engineers,"$102,950 ","$132,280 "
Petroleum Engineers,"$129,990 ","$97,250 "
Miscellaneous Engineers,"$95,900 ","$54,170 "
"Engineers, All Other","$95,900 ","$52,870 "
"Drafters, Engineering Technicians, and Mapping Technicians","$54,140 ","$59,690 "
Drafters,"$52,720 ","$55,130 "
Architectural and Civil Drafters,"$50,710 ","$50,290 "
Electrical and Electronics Drafters,"$59,520 ","$58,170 "
Mechanical Drafters,"$53,520 ","$67,240 "
"Drafters, All Other","$49,650 ","$51,620 "
"Engineering Technicians, Except Drafters","$56,450 ","$63,660 "
Aerospace Engineering and Operations Technicians,"$66,180 ","$56,740 "
Civil Engineering Technicians,"$49,260 ","$50,230 "
Electrical and Electronics Engineering Technicians,"$61,130 ","$54,280 "
Electro-Mechanical Technicians,"$53,340 ","$55,360 "
Environmental Engineering Technicians,"$48,650 ","$62,230 "
Industrial Engineering Technicians,"$53,780 ","$43,340 "
Mechanical Engineering Technicians,"$53,910 ","$43,340 "
"Engineering Technicians, Except Drafters, All Other","$61,260 ","$64,510 "
Surveying and Mapping Technicians,"$42,010 ","$73,700 "
"Life, Physical, and Social Science Occupations","$62,160 ","$60,760 "
Life Scientists,"$72,090 ","$63,660 "
Agricultural and Food Scientists,"$62,470 ","$62,430 "
Animal Scientists,"$60,390 ","$74,960 "
Food Scientists and Technologists,"$65,840 ","$91,190 "
Soil and Plant Scientists,"$60,050 ","$69,960 "
Biological Scientists,"$72,220 ","$62,290 "
Biochemists and Biophysicists,"$82,150 ","$76,690 "
Microbiologists,"$67,550 ","$60,970 "
Zoologists and Wildlife Biologists,"$59,680 ","$61,480 "
"Biological Scientists, All Other","$75,150 ","$60,120 "
Conservation Scientists and Foresters,"$60,220 ","$80,970 "
Conservation Scientists,"$61,110 ","$69,660 "
Foresters,"$58,230 ","$82,090 "
Medical Scientists,"$81,060 ","$74,540 "
Epidemiologists,"$69,450 ","$74,540 "
"Medical Scientists, Except Epidemiologists","$82,240 ","$78,790 "
Miscellaneous Life Scientists,"$70,550 ","$117,220 "
"Life Scientists, All Other","$70,550 ","$100,590 "
Physical Scientists,"$76,140 ","$118,830 "
Astronomers and Physicists,"$110,980 ","$92,070 "
Astronomers,"$104,100 ","$92,070 "
Physicists,"$111,580 ","$76,280 "
Atmospheric and Space Scientists,"$89,820 ","$74,740 "
Chemists and Materials Scientists,"$72,610 ","$73,860 "
Chemists,"$71,260 ","$69,400 "
Materials Scientists,"$91,000 ","$89,850 "
Environmental Scientists and Geoscientists,"$71,740 ","$79,990 "
"Environmental Scientists and Specialists, Including Health","$67,460 ","$103,990 "
"Geoscientists, Except Hydrologists and Geographers","$89,700 ","$103,990 "
Hydrologists,"$79,550 ","$76,970 "
Miscellaneous Physical Scientists,"$97,130 ","$102,490 "
"Physical Scientists, All Other","$97,130 ","$102,490 "
Social Scientists and Related Workers,"$72,570 ","$54,270 "
Economists,"$99,180 ","$54,270 "
Survey Researchers,"$53,920 ","$75,090 "
