Title,Element Name,Level
Chief Executives,Administration and Management,6.23
Chief Executives,Clerical,3.5
Chief Executives,Economics and Accounting,4.36
Chief Executives,Sales and Marketing,3.9
Chief Executives,Customer and Personal Service,5.55
Chief Executives,Personnel and Human Resources,5.02
Chief Executives,Production and Processing,2.92
Chief Executives,Food Production,0.29
Chief Executives,Computers and Electronics,2.54
Chief Executives,Engineering and Technology,1.59
Chief Executives,Design,2.04
Chief Executives,Building and Construction,2
Chief Executives,Mechanical,1.05
Chief Executives,Mathematics,4.23
Chief Executives,Physics,0.41
Chief Executives,Chemistry,0.95
Chief Executives,Biology,0.56
Chief Executives,Psychology,3.94
Chief Executives,Sociology and Anthropology,2.99
Chief Executives,Geography,1.29
Chief Executives,Medicine and Dentistry,0.73
Chief Executives,Therapy and Counseling,2.5
Chief Executives,Education and Training,4.45
Chief Executives,English Language,4.56
Chief Executives,Foreign Language,0.78
Chief Executives,Fine Arts,0.87
Chief Executives,History and Archeology,1.09
Chief Executives,Philosophy and Theology,1.82
Chief Executives,Public Safety and Security,3.61
Chief Executives,Law and Government,4
Chief Executives,Telecommunications,1.59
Chief Executives,Communications and Media,3.35
Chief Executives,Transportation,1.91
Chief Sustainability Officers,Administration and Management,4.72
Chief Sustainability Officers,Clerical,3.64
Chief Sustainability Officers,Economics and Accounting,3.6
Chief Sustainability Officers,Sales and Marketing,4.84
Chief Sustainability Officers,Customer and Personal Service,4.92
Chief Sustainability Officers,Personnel and Human Resources,4.08
Chief Sustainability Officers,Production and Processing,2.35
Chief Sustainability Officers,Food Production,1.36
Chief Sustainability Officers,Computers and Electronics,3.68
Chief Sustainability Officers,Engineering and Technology,4.2
Chief Sustainability Officers,Design,4.8
Chief Sustainability Officers,Building and Construction,4.32
Chief Sustainability Officers,Mechanical,2.76
Chief Sustainability Officers,Mathematics,4.15
Chief Sustainability Officers,Physics,2.96
Chief Sustainability Officers,Chemistry,3.04
Chief Sustainability Officers,Biology,3.08
Chief Sustainability Officers,Psychology,3.24
Chief Sustainability Officers,Sociology and Anthropology,3.36
Chief Sustainability Officers,Geography,3.81
Chief Sustainability Officers,Medicine and Dentistry,0.54
Chief Sustainability Officers,Therapy and Counseling,0.54
Chief Sustainability Officers,Education and Training,5.19
Chief Sustainability Officers,English Language,4.48
Chief Sustainability Officers,Foreign Language,0.88
Chief Sustainability Officers,Fine Arts,0.96
Chief Sustainability Officers,History and Archeology,1.88
Chief Sustainability Officers,Philosophy and Theology,2.42
Chief Sustainability Officers,Public Safety and Security,3.38
Chief Sustainability Officers,Law and Government,3.08
Chief Sustainability Officers,Telecommunications,0.81
Chief Sustainability Officers,Communications and Media,2.92
Chief Sustainability Officers,Transportation,2.48
General and Operations Managers,Administration and Management,5.21
General and Operations Managers,Clerical,3.7
General and Operations Managers,Economics and Accounting,3.84
General and Operations Managers,Sales and Marketing,4.05
General and Operations Managers,Customer and Personal Service,5.06
General and Operations Managers,Personnel and Human Resources,4.43
General and Operations Managers,Production and Processing,4.34
General and Operations Managers,Food Production,0.49
General and Operations Managers,Computers and Electronics,4
General and Operations Managers,Engineering and Technology,2.31
General and Operations Managers,Design,2.66
General and Operations Managers,Building and Construction,2.62
General and Operations Managers,Mechanical,2.91
General and Operations Managers,Mathematics,4.16
General and Operations Managers,Physics,1.41
General and Operations Managers,Chemistry,1.74
General and Operations Managers,Biology,0.9
General and Operations Managers,Psychology,2.78
General and Operations Managers,Sociology and Anthropology,1.3
General and Operations Managers,Geography,1.68
General and Operations Managers,Medicine and Dentistry,0.86
General and Operations Managers,Therapy and Counseling,1.48
General and Operations Managers,Education and Training,3.87
General and Operations Managers,English Language,3.68
General and Operations Managers,Foreign Language,1.13
General and Operations Managers,Fine Arts,0.47
General and Operations Managers,History and Archeology,0.43
General and Operations Managers,Philosophy and Theology,0.87
General and Operations Managers,Public Safety and Security,3.12
General and Operations Managers,Law and Government,3.12
General and Operations Managers,Telecommunications,2.33
General and Operations Managers,Communications and Media,2.68
General and Operations Managers,Transportation,2.31
Advertising and Promotions Managers,Administration and Management,4.39
Advertising and Promotions Managers,Clerical,3.86
Advertising and Promotions Managers,Economics and Accounting,1.98
Advertising and Promotions Managers,Sales and Marketing,4.73
Advertising and Promotions Managers,Customer and Personal Service,4.47
Advertising and Promotions Managers,Personnel and Human Resources,3.12
Advertising and Promotions Managers,Production and Processing,3.51
Advertising and Promotions Managers,Food Production,0.34
Advertising and Promotions Managers,Computers and Electronics,4.27
Advertising and Promotions Managers,Engineering and Technology,0.62
Advertising and Promotions Managers,Design,3.33
Advertising and Promotions Managers,Building and Construction,0.19
Advertising and Promotions Managers,Mechanical,0.38
Advertising and Promotions Managers,Mathematics,3.27
Advertising and Promotions Managers,Physics,0.17
Advertising and Promotions Managers,Chemistry,0.23
Advertising and Promotions Managers,Biology,0.19
Advertising and Promotions Managers,Psychology,2.95
Advertising and Promotions Managers,Sociology and Anthropology,1.48
Advertising and Promotions Managers,Geography,1.97
Advertising and Promotions Managers,Medicine and Dentistry,0
Advertising and Promotions Managers,Therapy and Counseling,0.55
Advertising and Promotions Managers,Education and Training,2.78
Advertising and Promotions Managers,English Language,5.06
Advertising and Promotions Managers,Foreign Language,1.29
Advertising and Promotions Managers,Fine Arts,3.51
Advertising and Promotions Managers,History and Archeology,0.64
Advertising and Promotions Managers,Philosophy and Theology,1.06
Advertising and Promotions Managers,Public Safety and Security,1.22
Advertising and Promotions Managers,Law and Government,1.73
Advertising and Promotions Managers,Telecommunications,2.91
Advertising and Promotions Managers,Communications and Media,5.3
Advertising and Promotions Managers,Transportation,1.38
Marketing Managers,Administration and Management,4.61
Marketing Managers,Clerical,4.1
Marketing Managers,Economics and Accounting,3.55
Marketing Managers,Sales and Marketing,6.05
Marketing Managers,Customer and Personal Service,4.85
Marketing Managers,Personnel and Human Resources,3.55
Marketing Managers,Production and Processing,2.92
Marketing Managers,Food Production,0.28
Marketing Managers,Computers and Electronics,4.05
Marketing Managers,Engineering and Technology,2.47
Marketing Managers,Design,3.55
Marketing Managers,Building and Construction,0.42
Marketing Managers,Mechanical,0.54
Marketing Managers,Mathematics,4.4
Marketing Managers,Physics,0.37
Marketing Managers,Chemistry,0.43
Marketing Managers,Biology,0.2
Marketing Managers,Psychology,2.86
Marketing Managers,Sociology and Anthropology,2.44
Marketing Managers,Geography,2.55
Marketing Managers,Medicine and Dentistry,0.44
Marketing Managers,Therapy and Counseling,1.1
Marketing Managers,Education and Training,4.15
Marketing Managers,English Language,5.04
Marketing Managers,Foreign Language,1.36
Marketing Managers,Fine Arts,1.32
Marketing Managers,History and Archeology,1.09
Marketing Managers,Philosophy and Theology,1.12
Marketing Managers,Public Safety and Security,2.26
Marketing Managers,Law and Government,2.93
Marketing Managers,Telecommunications,2.56
Marketing Managers,Communications and Media,4.21
Marketing Managers,Transportation,1.53
Sales Managers,Administration and Management,5.26
Sales Managers,Clerical,4.3
Sales Managers,Economics and Accounting,3.7
Sales Managers,Sales and Marketing,6.13
Sales Managers,Customer and Personal Service,5.39
Sales Managers,Personnel and Human Resources,3.91
Sales Managers,Production and Processing,3.09
Sales Managers,Food Production,0.09
Sales Managers,Computers and Electronics,3.96
Sales Managers,Engineering and Technology,2
Sales Managers,Design,1.43
Sales Managers,Building and Construction,1.13
Sales Managers,Mechanical,1.39
Sales Managers,Mathematics,4.22
Sales Managers,Physics,0.91
Sales Managers,Chemistry,0.96
Sales Managers,Biology,0.61
Sales Managers,Psychology,2.95
Sales Managers,Sociology and Anthropology,1.68
Sales Managers,Geography,2.39
Sales Managers,Medicine and Dentistry,0.09
Sales Managers,Therapy and Counseling,1.04
Sales Managers,Education and Training,4.65
Sales Managers,English Language,4.68
Sales Managers,Foreign Language,1.35
Sales Managers,Fine Arts,0.61
Sales Managers,History and Archeology,0.52
Sales Managers,Philosophy and Theology,1.22
Sales Managers,Public Safety and Security,1.48
Sales Managers,Law and Government,2.13
Sales Managers,Telecommunications,1.96
Sales Managers,Communications and Media,3.04
Sales Managers,Transportation,2.13
Public Relations and Fundraising Managers,Administration and Management,4.48
Public Relations and Fundraising Managers,Clerical,4.24
Public Relations and Fundraising Managers,Economics and Accounting,2.94
Public Relations and Fundraising Managers,Sales and Marketing,5.47
Public Relations and Fundraising Managers,Customer and Personal Service,5.86
Public Relations and Fundraising Managers,Personnel and Human Resources,3.74
Public Relations and Fundraising Managers,Production and Processing,0.77
Public Relations and Fundraising Managers,Food Production,0.12
Public Relations and Fundraising Managers,Computers and Electronics,2.88
Public Relations and Fundraising Managers,Engineering and Technology,0.51
Public Relations and Fundraising Managers,Design,0.41
Public Relations and Fundraising Managers,Building and Construction,0.22
Public Relations and Fundraising Managers,Mechanical,0.08
Public Relations and Fundraising Managers,Mathematics,3.9
Public Relations and Fundraising Managers,Physics,0.26
Public Relations and Fundraising Managers,Chemistry,0.55
Public Relations and Fundraising Managers,Biology,0.15
Public Relations and Fundraising Managers,Psychology,3.27
Public Relations and Fundraising Managers,Sociology and Anthropology,3.25
Public Relations and Fundraising Managers,Geography,1.22
Public Relations and Fundraising Managers,Medicine and Dentistry,0.86
Public Relations and Fundraising Managers,Therapy and Counseling,1.54
Public Relations and Fundraising Managers,Education and Training,4.02
Public Relations and Fundraising Managers,English Language,4.91
Public Relations and Fundraising Managers,Foreign Language,0.6
Public Relations and Fundraising Managers,Fine Arts,2.27
Public Relations and Fundraising Managers,History and Archeology,1.49
Public Relations and Fundraising Managers,Philosophy and Theology,2.13
Public Relations and Fundraising Managers,Public Safety and Security,1.69
Public Relations and Fundraising Managers,Law and Government,2.74
Public Relations and Fundraising Managers,Telecommunications,1.11
Public Relations and Fundraising Managers,Communications and Media,4.84
Public Relations and Fundraising Managers,Transportation,1.01
Administrative Services Managers,Administration and Management,4.56
Administrative Services Managers,Clerical,5.18
Administrative Services Managers,Economics and Accounting,3.14
Administrative Services Managers,Sales and Marketing,2
Administrative Services Managers,Customer and Personal Service,5.17
Administrative Services Managers,Personnel and Human Resources,4.12
Administrative Services Managers,Production and Processing,3.02
Administrative Services Managers,Food Production,0.61
Administrative Services Managers,Computers and Electronics,4.15
Administrative Services Managers,Engineering and Technology,1.62
Administrative Services Managers,Design,2.01
Administrative Services Managers,Building and Construction,2.17
Administrative Services Managers,Mechanical,2.25
Administrative Services Managers,Mathematics,3.54
Administrative Services Managers,Physics,1.14
Administrative Services Managers,Chemistry,1.33
Administrative Services Managers,Biology,0.74
Administrative Services Managers,Psychology,1.99
Administrative Services Managers,Sociology and Anthropology,1.45
Administrative Services Managers,Geography,1.1
Administrative Services Managers,Medicine and Dentistry,1.08
Administrative Services Managers,Therapy and Counseling,1.39
Administrative Services Managers,Education and Training,3.05
Administrative Services Managers,English Language,3.86
Administrative Services Managers,Foreign Language,0.75
Administrative Services Managers,Fine Arts,0.21
Administrative Services Managers,History and Archeology,0.77
Administrative Services Managers,Philosophy and Theology,1.31
Administrative Services Managers,Public Safety and Security,3.29
Administrative Services Managers,Law and Government,2.66
Administrative Services Managers,Telecommunications,2.19
Administrative Services Managers,Communications and Media,2.2
Administrative Services Managers,Transportation,1.41
Computer and Information Systems Managers,Administration and Management,4.31
Computer and Information Systems Managers,Clerical,3.69
Computer and Information Systems Managers,Economics and Accounting,2.16
Computer and Information Systems Managers,Sales and Marketing,1.77
Computer and Information Systems Managers,Customer and Personal Service,4.72
Computer and Information Systems Managers,Personnel and Human Resources,4.09
Computer and Information Systems Managers,Production and Processing,1.42
Computer and Information Systems Managers,Food Production,0
Computer and Information Systems Managers,Computers and Electronics,6.13
Computer and Information Systems Managers,Engineering and Technology,3.99
Computer and Information Systems Managers,Design,3
Computer and Information Systems Managers,Building and Construction,0.65
Computer and Information Systems Managers,Mechanical,0.62
Computer and Information Systems Managers,Mathematics,4.67
Computer and Information Systems Managers,Physics,1.2
Computer and Information Systems Managers,Chemistry,0.58
Computer and Information Systems Managers,Biology,0.01
Computer and Information Systems Managers,Psychology,2.27
Computer and Information Systems Managers,Sociology and Anthropology,1.69
Computer and Information Systems Managers,Geography,2.49
Computer and Information Systems Managers,Medicine and Dentistry,0.02
Computer and Information Systems Managers,Therapy and Counseling,0.78
Computer and Information Systems Managers,Education and Training,3.95
Computer and Information Systems Managers,English Language,3.63
Computer and Information Systems Managers,Foreign Language,0.74
