State,Job_Title,Salary
AL,"Home Economics Teachers, Postsecondary","$82,220"
AL,"Recreation and Fitness Studies Teachers, Postsecondary","$61,250"
AL,"Vocational Education Teachers, Postsecondary","$40,010"
AL,"Postsecondary Teachers, All Other","$18,900"
AL,"Preschool Teachers, Except Special Education","$22,830"
AL,"Kindergarten Teachers, Except Special Education","$43,410"
AL,"Elementary School Teachers, Except Special Education","$49,590"
AL,"Middle School Teachers, Except Special and Career/Technical Education","$49,660"
AL,"Secondary School Teachers, Except Special and Career/Technical Education","$50,140"
AL,"Career/Technical Education Teachers, Secondary School","$50,060"
AL,"Special Education Teachers, Preschool","$39,050"
AL,"Special Education Teachers, Kindergarten and Elementary School","$51,620"
AL,"Special Education Teachers, Middle School","$53,680"
AL,"Special Education Teachers, Secondary School","$49,530"
AL,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"$34,320"
AL,Self-Enrichment Education Teachers,"$40,010"
AL,"Teachers and Instructors, All Other, Except Substitute Teachers","$39,830"
AL,Substitute Teachers,"$17,990"
AL,Archivists,"$47,270"
AL,Curators,"$52,600"
AL,Museum Technicians and Conservators,"$37,930"
AL,Librarians,"$55,310"
AL,Library Technicians,"$30,790"
AL,Farm and Home Management Advisors,"$56,270"
AL,Instructional Coordinators,"$75,320"
AL,Teacher Assistants,"$19,540"
AL,"Education, Training, and Library Workers, All Other","$28,410"
AL,"Arts, Design, Entertainment, Sports, and Media Occupations","$35,930"
AL,Art Directors,"$75,790"
AL,Craft Artists,"$33,820"
AL,Multimedia Artists and Animators,"$58,660"
AL,"Artists and Related Workers, All Other","$59,330"
AL,Commercial and Industrial Designers,"$66,070"
AL,Floral Designers,"$21,060"
AL,Graphic Designers,"$41,040"
AL,Interior Designers,"$50,950"
AL,Merchandise Displayers and Window Trimmers,"$26,190"
AL,Set and Exhibit Designers,"$47,120"
AL,"Designers, All Other","$18,230"
AL,Producers and Directors,"$46,100"
AL,Coaches and Scouts,"$28,680"
AL,"Umpires, Referees, and Other Sports Officials","$18,100"
AL,Radio and Television Announcers,"$23,020"
AL,Reporters and Correspondents,"$34,260"
AL,Public Relations Specialists,"$45,580"
AL,Technical Writers,"$65,230"
AL,Writers and Authors,"$40,690"
AL,Interpreters and Translators,"$41,580"
AL,Audio and Video Equipment Technicians,"$32,610"
AL,Broadcast Technicians,"$32,900"
AL,Photographers,"$30,420"
AL,"Camera Operators, Television, Video, and Motion Picture","$40,810"
AL,Film and Video Editors,"$46,660"
AL,"Media and Communication Equipment Workers, All Other","$60,200"
AL,Healthcare Practitioners and Technical Occupations,"$52,530"
AL,Chiropractors,"$65,150"
AL,"Dentists, General","$162,750"
AL,"Dentists, All Other Specialists","$198,970"
AL,Dietitians and Nutritionists,"$53,940"
AL,Optometrists,"$102,070"
AL,Pharmacists,"$121,710"
AL,Family and General Practitioners,"$199,020"
AL,Psychiatrists,"$156,450"
AL,Physician Assistants,"$97,270"
AL,Podiatrists,"$135,330"
AL,Occupational Therapists,"$79,230"
AL,Physical Therapists,"$86,350"
AL,Radiation Therapists,"$76,130"
AL,Recreational Therapists,"$41,770"
AL,Respiratory Therapists,"$47,860"
AL,Speech-Language Pathologists,"$65,370"
AL,Exercise Physiologists,"$39,790"
AL,Veterinarians,"$82,260"
AL,Registered Nurses,"$56,570"
AL,Nurse Anesthetists,"$162,650"
AL,Nurse Practitioners,"$93,040"
AL,Audiologists,"$71,760"
AL,"Health Diagnosing and Treating Practitioners, All Other","$65,210"
AL,Clinical Laboratory Technologists and Technicians,"$46,940"
AL,Dental Hygienists,"$46,430"
AL,Cardiovascular Technologists and Technicians,"$52,770"
AL,Diagnostic Medical Sonographers,"$55,950"
AL,Nuclear Medicine Technologists,"$61,750"
AL,Radiologic Technologists,"$46,440"
AL,Magnetic Resonance Imaging Technologists,"$59,610"
AL,Emergency Medical Technicians and Paramedics,"$29,470"
AL,Dietetic Technicians,"$35,640"
AL,Pharmacy Technicians,"$28,230"
AL,Psychiatric Technicians,"$26,300"
AL,Respiratory Therapy Technicians,"$37,860"
AL,Surgical Technologists,"$35,620"
AL,Veterinary Technologists and Technicians,"$29,450"
AL,Ophthalmic Medical Technicians,"$32,260"
AL,Licensed Practical and Licensed Vocational Nurses,"$36,890"
AL,Medical Records and Health Information Technicians,"$32,050"
AL,"Opticians, Dispensing","$28,750"
AL,Orthotists and Prosthetists,"$44,760"
AL,Hearing Aid Specialists,"$54,980"
AL,"Health Technologists and Technicians, All Other","$37,930"
AL,Occupational Health and Safety Specialists,"$63,400"
AL,Occupational Health and Safety Technicians,"$47,040"
AL,Athletic Trainers,"$42,180"
AL,Genetic Counselors,"$35,100"
AL,"Healthcare Practitioners and Technical Workers, All Other","$31,370"
AL,Healthcare Support Occupations,"$24,110"
AL,Home Health Aides,"$19,470"
AL,Psychiatric Aides,"$24,280"
