Title,SupplementalTasks,CoreTasks,Technology,Description
Chief Executives,"['Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.', 'Make presentations to legislative or other government committees regarding policies, programs, or budgets.', 'Refer major policy matters to elected representatives for final decisions.', 'Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.', 'Conduct or direct investigations or hearings to resolve complaints or violations of laws or testify at such hearings.', 'Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.', 'Prepare bylaws approved by elected officials and ensure that bylaws are enforced.', 'Serve as liaisons between organizations, shareholders, and outside organizations.', 'Attend and participate in meetings of municipal councils or council committees.', 'Represent organizations or promote their objectives at official functions or delegate representatives to do so.', 'Organize or approve promotional campaigns.', 'Nominate citizens to boards or commissions.']","[""Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency."", 'Appoint department heads or managers and assign or delegate responsibilities to them.', 'Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.', 'Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.', 'Prepare budgets for approval, including those for funding or implementation of programs.', 'Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.', 'Implement corrective action plans to solve organizational or departmental problems.', 'Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.', 'Establish departmental responsibilities and coordinate functions among departments and sites.', 'Preside over or serve on boards of directors, management committees, or other governing boards.', 'Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.', 'Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.', 'Review reports submitted by staff members to recommend approval or to suggest changes.', 'Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.', 'Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.', 'Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.', 'Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.', 'Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.', 'Direct or conduct studies or research on issues affecting areas of responsibility.']","['Adobe Systems Adobe Acrobat', ""Blackbaud The Raiser's Edge"", 'Enterprise resource planning ERP software', 'Fund accounting software', 'Intuit QuickBooks', 'Microsoft Access', 'Microsoft Dynamics AX', 'Microsoft Dynamics GP', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Publisher', 'Microsoft SharePoint', 'Oracle E-Business Suite', 'Oracle PeopleSoft', 'Sage 50 Accounting', 'SAP', 'Structured query language SQL']","Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."
Chief Sustainability Officers,[],"['Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.', 'Supervise employees or volunteers working on sustainability projects.', 'Research environmental sustainability issues, concerns, or stakeholder interests.', 'Develop methodologies to assess the viability or success of sustainability initiatives.', 'Monitor and evaluate effectiveness of sustainability programs.', 'Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.', 'Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.', 'Develop, or oversee the development of, sustainability evaluation or monitoring systems.', 'Create and maintain sustainability program documents, such as schedules and budgets.', 'Direct sustainability program operations to ensure compliance with environmental or governmental regulations.', 'Identify educational, training, or other development opportunities for sustainability employees or volunteers.', 'Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.', 'Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.', 'Formulate or implement sustainability campaign or marketing strategies.', 'Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.', 'Conduct sustainability- or environment-related risk assessments.', 'Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.', 'Write and distribute financial or environmental impact reports.']","['Microsoft Access', 'Microsoft Dynamics GP', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Project', 'SAP']","Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy."
General and Operations Managers,"['Set prices or credit terms for goods or services based on forecasts of customer demand.', 'Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.', 'Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.', 'Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.', 'Recommend locations for new facilities or oversee the remodeling or renovating of current facilities.', 'Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.', 'Direct non-merchandising departments of businesses, such as advertising or purchasing.', 'Plan store layouts or design displays.']","['Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.', 'Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.', 'Direct administrative activities directly related to making products or providing services.', 'Prepare staff work schedules and assign specific duties.', 'Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.', 'Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.', 'Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.', 'Perform personnel functions such as selection, training, or evaluation.', 'Plan or direct activities such as sales promotions that require coordination with other department managers.']","['Adobe Systems Adobe Acrobat', 'Adobe Systems Adobe Photoshop', 'Apache Hadoop', 'Apple Final Cut Pro', 'Atlassian JIRA', 'Autodesk AutoCAD', ""Blackbaud The Raiser's Edge"", 'Citrix', 'CNC Mastercam', 'Computer aided manufacturing CAM software', 'Customer information control system CICS', 'Data entry software', 'Deacom ERP', 'FileMaker Pro', 'Fund accounting software', 'Google AdWords', 'Google Analytics', 'Human resource management software HRMS', 'IBM Cognos Impromptu', 'IBM Domino', 'IBM Notes', 'IBM Power Systems software', 'Intuit QuickBooks', 'Job control language JCL', 'LexisNexis', 'LinkedIn', 'Marketo Marketing Automation', 'Microsoft Access', 'Microsoft Dynamics', 'Microsoft Dynamics GP', 'Microsoft Excel', 'Microsoft Exchange Server', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Publisher', 'Microsoft SharePoint', 'Microsoft Visio', 'Microsoft Visual Basic', 'MicroStrategy', 'Minitab', 'Nagios', 'NetSuite ERP', 'Oracle E-Business Suite Financials', 'Oracle Eloqua', 'Oracle Hyperion', 'Oracle JD Edwards EnterpriseOne', 'Oracle PeopleSoft', 'Oracle PeopleSoft Financials', 'Oracle Primavera Enterprise Project Portfolio Management', 'PostgreSQL', 'Puppet', 'Qlik Tech QlikView', 'R', 'Sage 50 Accounting', 'Salesforce software', 'SAP', 'SAP Business Objects', 'SAP Crystal Reports', 'SAS', 'Siemens NX for Manufacturing', 'Splunk Enterprise', 'SPSS', 'StataCorp Stata', 'Structured query language SQL', 'Symantec', 'Tableau', 'Tax software', 'The MathWorks MATLAB', 'Veritas NetBackup', 'Yardi']","Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services."
Legislators,[],[],"['Adobe Systems Adobe Acrobat', 'IBM Domino', 'Microsoft Access', 'Microsoft Excel', 'Microsoft Exchange Server', 'Microsoft Outlook', 'Microsoft SharePoint', 'Microsoft SQL Server', 'Microsoft Visual Basic', 'Structured query language SQL']","Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level. Includes only workers in elected positions."
Advertising and Promotions Managers,"['Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.', 'Train and direct workers engaged in developing and producing advertisements.', 'Track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.', 'Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.', 'Coordinate with the media to disseminate advertising.', 'Contact organizations to explain services and facilities offered.', 'Manage sales team including setting goals, providing incentives, and evaluating employee performance.', 'Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support and action, to further campaign goals.']","['Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.', 'Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.', 'Gather and organize information to plan advertising campaigns.', 'Confer with clients to provide marketing or technical advice.', 'Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.', 'Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.', 'Prepare budgets and submit estimates for program costs as part of campaign plan development.', 'Prepare and negotiate advertising and sales contracts.', 'Plan and execute advertising policies and strategies for organizations.', 'Assist with annual budget development.', 'Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.', 'Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.', 'Direct and coordinate product research and development.', 'Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.', 'Represent company at trade association meetings to promote products.', 'Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.', 'Consult publications to learn about conventions and social functions and to organize prospect files for promotional purposes.']","['Adobe Systems Adobe Acrobat', 'Adobe Systems Adobe AfterEffects', 'Adobe Systems Adobe Dreamweaver', 'Adobe Systems Adobe Illustrator', 'Adobe Systems Adobe InDesign', 'Adobe Systems Adobe Photoshop', 'Apple Final Cut Pro', 'Brainworks', 'Google AdWords', 'JavaScript', 'Microsoft Access', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Publisher']","Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."
Green Marketers,[],[],"['Adobe Systems Adobe InDesign', 'Adobe Systems Adobe Photoshop', 'Facebook', 'LinkedIn', 'Microsoft Access', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Publisher', 'Microsoft SQL Server', 'SAP']",Create and implement methods to market green products and services.
Marketing Managers,"['Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.', 'Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.', 'Conduct economic or commercial surveys to identify potential markets for products or services.', 'Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.', 'Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.', 'Select products or accessories to be displayed at trade or special production shows.', 'Develop business cases for environmental marketing strategies.', 'Integrate environmental information into product or company marketing strategies, policies, or activities.']","['Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.', 'Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.', 'Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.', 'Develop pricing strategies, balancing firm objectives and customer satisfaction.', 'Compile lists describing product or service offerings.', 'Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.', 'Consult with product development personnel on product specifications such as design, color, or packaging.', 'Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.', 'Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.', 'Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.', 'Initiate market research studies or analyze their findings.', 'Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.']","['Adobe Systems Adobe Acrobat', 'Adobe Systems Adobe ActionScript', 'Adobe Systems Adobe AfterEffects', 'Adobe Systems Adobe Creative Cloud', 'Adobe Systems Adobe Dreamweaver', 'Adobe Systems Adobe Fireworks', 'Adobe Systems Adobe Flash', 'Adobe Systems Adobe Illustrator', 'Adobe Systems Adobe InDesign', 'Adobe Systems Adobe Photoshop', 'Apache Cassandra', 'Apache Hadoop', 'Apache Hive', 'Apache Pig', 'Apple Final Cut Pro', 'Atlassian JIRA', ""Blackbaud The Raiser's Edge"", 'Cascading Style Sheets CSS', 'Citrix', 'Data entry software', 'Delphi Technology', 'Drupal', 'Dynamic hypertext markup language DHTML', 'Extensible HyperText Markup Language XHTML', 'Extensible markup language XML', 'Facebook', 'FileMaker Pro', 'Google AdWords', 'Google Analytics', 'Hypertext markup language HTML', 'IBM Cognos Impromptu', 'IBM Domino', 'IBM Notes', 'IBM Power Systems software', 'Intuit QuickBooks', 'JavaScript', 'LexisNexis', 'LinkedIn', 'Marketo Marketing Automation', 'McAfee', 'Microsoft Access', 'Microsoft Dynamics', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Publisher', 'Microsoft SharePoint', 'Microsoft Visio', 'Microsoft Visual Basic', 'MicroStrategy', 'Minitab', 'MySQL', 'NetSuite ERP', 'NoSQL', 'Oracle Business Intelligence Enterprise Edition', 'Oracle E-Business Suite Financials', 'Oracle Eloqua', 'Oracle Fusion Applications', 'Oracle JavaServer Pages JSP', 'Oracle PeopleSoft', 'Oracle PeopleSoft Financials', 'Oracle PL/SQL', 'PHP: Hypertext Preprocessor', 'Qlik Tech QlikView', 'R', 'Salesforce software', 'SAP', 'SAP Business Objects', 'SAS', 'Splunk Enterprise', 'SPSS', 'StataCorp Stata', 'Structured query language SQL', 'Swift', 'Symantec', 'Tableau', 'Teradata Database', 'The MathWorks MATLAB', 'Yardi', 'YouTube']","Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services."
Sales Managers,"['Confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.', 'Assess marketing potential of new and existing store locations, considering statistics and expenditures.', 'Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.', 'Direct foreign sales and service outlets of an organization.']","['Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale.', 'Resolve customer complaints regarding sales and service.', 'Review operational records and reports to project sales and determine profitability.', 'Oversee regional and local sales managers and their staffs.', 'Determine price schedules and discount rates.', 'Prepare budgets and approve budget expenditures.', 'Monitor customer preferences to determine focus of sales efforts.', 'Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.', 'Direct, coordinate, and review activities in sales and service accounting and record-keeping, and in receiving and shipping operations.', 'Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.', 'Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.', 'Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.', 'Represent company at trade association meetings to promote products.']","['Adobe Systems Adobe Acrobat', 'Adobe Systems Adobe Flash', 'Bentley MicroStation', ""Blackbaud The Raiser's Edge"", 'Data entry software', 'Delphi Technology', 'Eclipse IDE', 'Facebook', 'FileMaker Pro', 'Google AdWords', 'Google Analytics', 'Human resource management software HRMS', 'Hypertext markup language HTML', 'IBM Cognos Impromptu', 'IBM Notes', 'IBM Power Systems software', 'LexisNexis', 'LinkedIn', 'Marketo Marketing Automation', 'Microsoft Access', 'Microsoft Dynamics', 'Microsoft Dynamics GP', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Publisher', 'Microsoft SharePoint', 'Microsoft Visio', 'MicroStrategy', 'Minitab', 'NetSuite ERP', 'Oracle Business Intelligence Enterprise Edition', 'Oracle Eloqua', 'Oracle Fusion Applications', 'Oracle Hyperion', 'Oracle JD Edwards EnterpriseOne', 'Oracle PeopleSoft', 'Oracle PeopleSoft Financials', 'Oracle Primavera Enterprise Project Portfolio Management', 'Qlik Tech QlikView', 'Sage 50 Accounting', 'Salesforce software', 'SAP', 'SAP Business Objects', 'SAS', 'SPSS', 'Structured query language SQL', 'Symantec', 'Tableau', 'Tax software', 'Yardi', 'YouTube']","Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers."
Public Relations and Fundraising Managers,"['Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.', 'Assign, supervise, and review the activities of public relations staff.', 'Manage communications budgets.', 'Draft speeches for company executives and arrange interviews and other forms of contact for them.', ""Respond to requests for information about employers' activities or status."", 'Direct activities of external agencies, establishments, and departments that develop and implement communication strategies and information programs.', 'Develop, implement, and maintain crisis communication plans.', 'Formulate policies and procedures related to public information programs, working with public relations executives.', 'Produce films and other video products, regulate their distribution, and operate film library.', 'Confer with labor relations managers to develop internal communications that keep employees informed of company activities.', 'Observe and report on social, economic, and political trends that might affect employers.', 'Maintain company archives.', 'Manage in-house communication courses.']","['Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.', ""Develop and maintain the company's corporate image and identity, which includes the use of logos and signage."", 'Manage special events, such as sponsorship of races, parties introducing new products, or other activities the firm supports, to gain public attention through the media without advertising directly.', 'Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.', 'Design and edit promotional publications, such as brochures.', 'Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.', 'Evaluate advertising and promotion programs for compatibility with public relations efforts.', 'Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.']","['Adobe Systems Adobe Acrobat', 'Adobe Systems Adobe AfterEffects', 'Adobe Systems Adobe Creative Cloud', 'Adobe Systems Adobe Dreamweaver', 'Adobe Systems Adobe Fireworks', 'Adobe Systems Adobe Flash', 'Adobe Systems Adobe Illustrator', 'Adobe Systems Adobe InDesign', 'Adobe Systems Adobe Photoshop', 'Apple Final Cut Pro', ""Blackbaud The Raiser's Edge"", 'Data entry software', 'Drupal', 'Facebook', 'FileMaker Pro', 'Fund accounting software', 'Google AdWords', 'Google Analytics', 'Human resource management software HRMS', 'Hypertext markup language HTML', 'IBM Notes', 'LinkedIn', 'Marketo Marketing Automation', 'Microsoft Access', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Publisher', 'Microsoft SharePoint', 'MicroStrategy', 'Oracle Eloqua', 'Oracle PeopleSoft Financials', 'Salesforce software', 'YouTube']","Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations."
Administrative Services Managers,"['Plan, administer, and control budgets for contracts, equipment, and supplies.', 'Hire and terminate clerical and administrative personnel.', 'Direct or coordinate the supportive services department of a business, agency, or organization.', 'Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.', 'Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.', 'Manage leasing of facility space.', 'Participate in architectural and engineering planning and design, including space and installation management.', 'Dispose of, or oversee the disposal of, surplus or unclaimed property.']","['Monitor the facility to ensure that it remains safe, secure, and well-maintained.', 'Prepare and review operational reports and schedules to ensure accuracy and efficiency.', 'Set goals and deadlines for the department.', 'Acquire, distribute and store supplies.', 'Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.', 'Conduct classes to teach procedures to staff.']","['Adobe Systems Adobe Acrobat', 'Atlassian JIRA', 'Autodesk AutoCAD', ""Blackbaud The Raiser's Edge"", 'Data entry software', 'Delphi Technology', 'FileMaker Pro', 'Fund accounting software', 'Human resource management software HRMS', 'IBM Notes', 'Intuit QuickBooks', 'LexisNexis', 'LinkedIn', 'Microsoft Access', 'Microsoft Dynamics GP', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Publisher', 'Microsoft SharePoint', 'Microsoft Visio', 'Minitab', 'Oracle Hyperion', 'Oracle PeopleSoft', 'Oracle PeopleSoft Financials', 'Sage 50 Accounting', 'Sage MAS 200 ERP', 'SAP', 'SAP Business Objects', 'SPSS', 'Teradata Database', 'Yardi']","Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services."
